"","Response_number","en_prof","Response","Subject"
"1",1,"intermediate","definitely","f1s"
"2",2,"high","unlikely","f1s"
"3",3,"intermediate","definitely","f1s"
"4",4,"high","likely","f1s"
"5",5,"not well","definitely","f1s"
"6",6,"high","never","f1s"
"7",7,"high","definitely","f1s"
"8",8,"high","likely","f1s"
"9",1,"intermediate","unlikely","f2s"
"10",2,"high","unlikely","f2s"
"11",3,"intermediate","likely","f2s"
"12",4,"high","unlikely","f2s"
"13",5,"not well","unlikely","f2s"
"14",6,"high","likely","f2s"
"15",7,"high","likely","f2s"
"16",8,"high","likely","f2s"
